"Designator,""Footprint"",""Mid X"",""Mid Y"",""Ref X"",""Ref Y"",""Pad X"",""Pad Y"",""Layer"",""Rotation"",""Comment"""
"T4,""SOT23_3L_ReflowSoldering"",""12.5mil"",""962.5mil"",""12.5mil"",""962.5mil"",""55.808mil"",""1000.886mil"",""B"",""360.00"",""BC847C"""
"T5,""DPAK"",""-306.25mil"",""1539.518mil"",""-306.25mil"",""1681.25mil"",""-215.698mil"",""1397.786mil"",""B"",""270.00"",""NTD2955G"""
"U1,""SOT23_6L"",""-768.762mil"",""1662.5mil"",""-768.75mil"",""1662.5mil"",""-814.026mil"",""1625.098mil"",""B"",""180.00"",""LMR12010YMK"""
"U2,""SOT223"",""-2112.5mil"",""1600mil"",""-2112.5mil"",""1600mil"",""-2205.02mil"",""1724mil"",""B"",""90.00"",""LD1117STR"""
"U3,""SOT223"",""-962.5mil"",""1225mil"",""-962.5mil"",""1225mil"",""-838.5mil"",""1317.52mil"",""B"",""360.00"",""LD1117STR"""
"U4,""SOT23_3L_ReflowSoldering"",""12.5mil"",""825mil"",""12.5mil"",""825mil"",""55.808mil"",""863.386mil"",""B"",""360.00"",""MCP120T-300I/TT"""
"U6,""SOIC_08_E1,27_L150_ReflowSoldering"",""-1975mil"",""860mil"",""-1975mil"",""860mil"",""-2050mil"",""960mil"",""B"",""360.00"",""LM4871M"""
"U7,""SOT143"",""-381.25mil"",""1218.75mil"",""-381.25mil"",""1218.75mil"",""-410.778mil"",""1261.072mil"",""B"",""360.00"",""MIC4416YM4"""
"U8,""SOT353"",""-300mil"",""975.016mil"",""-300mil"",""975mil"",""-274.409mil"",""939.6mil"",""B"",""270.00"",""74AHC1G14GW"""
"U9,""SC70_6"",""-375mil"",""1100mil"",""-375mil"",""1100mil"",""-412.402mil"",""1074.409mil"",""B"",""360.00"",""74LVC1G97DCKR"""
"U10,""QFP_064_E0,50_10X10MM"",""-812.5mil"",""337.5mil"",""-812.5mil"",""337.5mil"",""-664.862mil"",""117.028mil"",""B"",""90.00"",""PICASO-GFX2"""
"C45,""0603_ReflowSoldering_CAP"",""-2040mil"",""1300mil"",""-2040mil"",""1300mil"",""-2013.6mil"",""1300mil"",""B"",""180.00"",""C_0603_X7R_10%_100N-50V"""
"C47,""1206_ReflowSoldering_CAP"",""-1712.5mil"",""1475mil"",""-1712.5mil"",""1475mil"",""-1712.5mil"",""1417.913mil"",""B"",""90.00"",""C_1206_X5R_20%_100U-10V"""
"D5,""SOD323_ReflowSoldering"",""-6.25mil"",""1150mil"",""-6.25mil"",""1150mil"",""40.01mil"",""1150mil"",""B"",""360.00"",""PMEG4010CEJ"""
"D6,""SOD323_ReflowSoldering"",""-37.5mil"",""1218.75mil"",""-37.5mil"",""1218.75mil"",""8.76mil"",""1218.75mil"",""B"",""360.00"",""PMEG4010CEJ"""
"D10,""SOT23_3L_ReflowSoldering"",""-153.307mil"",""1298.386mil"",""-153.307mil"",""1298.386mil"",""-110mil"",""1336.772mil"",""B"",""360.00"",""BAT54C"""
"R34,""0603_ReflowSoldering_RES"",""-50mil"",""1312.5mil"",""-50mil"",""1312.5mil"",""-50mil"",""1286.1mil"",""B"",""90.00"",""RES_0603_1%_100PPM_3.3K"""
"R35,""0603_ReflowSoldering_RES"",""-468.75mil"",""868.75mil"",""-468.75mil"",""868.75mil"",""-468.75mil"",""895.15mil"",""B"",""270.00"",""RES_0603_1%_100PPM_4.7K"""
"S1,""SWITCH_ON_MOM_WS_TRS_CMS"",""-641.5mil"",""1006.182mil"",""-641.5mil"",""1006.182mil"",""-516.5mil"",""1006.182mil"",""B"",""180.00"",""INTP_D_1C-1P_ON-MOM_434123025816"""
"U14,""AFFICHEUR_50x69.2_FPC37_e1MM"",""-1006.299mil"",""925mil"",""-1006.299mil"",""925mil"",""-1306.299mil"",""1633.662mil"",""T"",""180.00"",""AFFICHEUR_KWH028Q20_F02_B"""
"C49,""1206_ReflowSoldering_CAP"",""-1875mil"",""1587.5mil"",""-1875mil"",""1587.5mil"",""-1875mil"",""1644.587mil"",""B"",""270.00"",""C_1206_X5R_20%_100U-10V"""
"C50,""1206_ReflowSoldering_CAP"",""-1487.5mil"",""1612.5mil"",""-1487.5mil"",""1612.5mil"",""-1487.5mil"",""1669.587mil"",""B"",""270.00"",""C_1206_X5R_20%_100U-10V"""
"T3,""SOT23_3L_ReflowSoldering"",""-82.234mil"",""1543.75mil"",""-82.234mil"",""1543.75mil"",""-44.833mil"",""1500.443mil"",""B"",""270.00"",""NSS60200LT1G"""
"C48,""1206_ReflowSoldering_CAP"",""-505mil"",""1790mil"",""-505mil"",""1790mil"",""-505mil"",""1732.913mil"",""B"",""90.00"",""C_1206_X5R_20%_22U-25V"""
